FILE,SIZE,GStime,GBtime,STtime,NMS,DTtime,Hystime,TOTAL,RESULT
henry-chen-C9ZwRUAPaIQ-unsplash(2).jpg,1485581,13951.2,325890,212082,75924,18932.6,12416.5,659196
henry-chen-C9ZwRUAPaIQ-unsplash(3).jpg,4232197,53133.4,1.23095e+06,790479,288922,71158.9,56662.4,2.49131e+06
henry-chen-C9ZwRUAPaIQ-unsplash.jpg,143385,977.817,23114.3,15417.3,5546.4,1383.29,989.729,47428.8
imad-786-bS86J4xzmbM-unsplash(1).jpg,689817,11716.4,271969,155985,51991.2,15452.1,8870.75,515984
imad-786-bS86J4xzmbM-unsplash(2).jpg,463930,7406.23,173701,99039.4,31749.7,9807.99,5861.58,327566
imad-786-bS86J4xzmbM-unsplash(3).jpg,1586997,27581.9,638431,376721,130769,35801.3,26301.7,1.23561e+06
imad-786-bS86J4xzmbM-unsplash.jpg,76006,816.16,19281.5,10975.2,3321.59,1127.16,727.061,36248.6
image_10_1772x4317.jpg,664877,12354.1,288503,160365,50146.2,18408.4,15278.9,545056
image_11_4655x1401.jpg,679113,10555.4,246020,150238,48281.7,14680.8,10949.2,480724
image_12_4277x1506.jpg,434775,10403.3,243025,138670,45424.6,14095.8,9150.79,460770
image_13_633x2563.jpg,186117,2639.18,61129.4,30815.7,9837.11,4138.02,3649.47,112209
image_1_394x2626.jpg,162212,1687.22,38967.5,26212.1,8741.23,2825.48,3226.3,81659.8
image_14_3221x373.jpg,37064,1917.48,45243.4,24448.8,8323.33,2513.84,1117.26,83564.1
image_15_1821x1543.jpg,192794,4532.69,105966,56509.2,15032,6064.34,4115.12,192220
image_16_1922x3627.jpg,511471,11276.9,263059,161983,51040,15216.8,9236.5,511812
image_17_585x2590.jpg,119544,2439.67,57056.3,38646,13467.8,3273.72,1765.63,116649
image_18_575x1328.jpg,55982,1243.62,28770.7,14526.3,4465.88,1796.94,1390.46,52193.9
image_19_2635x4649.jpg,972988,19812,461983,253764,78700.7,27867.8,19837.1,861964
image_20_944x452.jpg,58617,679.882,16072.6,10175.7,3291.35,944.835,762.478,31926.8
image_21_3762x2135.jpg,1103840,12918.4,302824,211279,76162.7,17683.5,11597,632464
image_22_4269x338.jpg,190364,2280.97,54432.6,35579.9,11198.1,3718.78,3611.12,110821
image_23_863x1489.jpg,147790,2091.42,48428.4,30276.9,9454.67,3222.35,3046.97,96520.7
image_24_840x1058.jpg,69874,1430.22,33473.4,16937.9,4962.21,1893.6,1300.07,59997.4
